time,open,high,low,close,Kernel Regression Estimate,Buy,Sell,StopBuy,StopSell,🚫
1757996100,55174.6,55255,55166.2,55249,55139.01123657819,55166.2,NaN,NaN,NaN,0
1757997000,55250,55300,55241.6,55260,55150.82169548316,NaN,NaN,NaN,NaN,0
1757997900,55264.2,55270,55226,55262,55162.623048079004,NaN,NaN,NaN,NaN,0
1757998800,55245,55292.8,55235.8,55262.8,55174.101682778564,NaN,NaN,NaN,NaN,0
1757999700,55263.6,55281,55220.8,55261.6,55184.91335558674,NaN,NaN,NaN,NaN,0
1758000600,55261.6,55285,55257,55285,55197.17747637385,NaN,NaN,55285,NaN,0
1758001500,55285,55292,55254,55291,55209.1939234084,NaN,NaN,NaN,NaN,0
1758002400,55291,55345,55291,55330.4,55223.88359742796,NaN,NaN,NaN,NaN,0
1758003300,55323.4,55346,55305.2,55306.8,55235.43600807775,NaN,NaN,NaN,NaN,0
1758004200,55309.4,55330,55280,55305.8,55245.76962572001,NaN,NaN,NaN,NaN,0
1758005100,55305.6,55338.6,55293,55327.2,55256.9858888061,NaN,NaN,NaN,NaN,0
1758006000,55326.8,55348,55311.2,55317.2,55266.212965818755,NaN,NaN,NaN,NaN,0
1758006900,55330,55345,55309.6,55319,55274.55409369026,NaN,NaN,NaN,NaN,0
1758007800,55319.8,55326,55240,55279,55278.2443203661,NaN,NaN,NaN,NaN,0
1758008700,55275.2,55290,55235,55289.4,55281.938172355316,NaN,NaN,NaN,NaN,0
1758009600,55285.6,55293,55265,55289,55284.779261019896,NaN,NaN,NaN,NaN,0
1758010500,55289,55291.2,55276.2,55288,55286.89941538666,NaN,NaN,NaN,NaN,0
1758011400,55288,55309.4,55231,55276.4,55287.37181770184,NaN,NaN,NaN,NaN,0
1758012300,55270,55320,55270,55304,55289.868374624966,NaN,NaN,NaN,NaN,0
1758013200,55302.4,55330,55302,55318.4,55293.28246816335,NaN,NaN,NaN,NaN,0
1758014100,55317.6,55330,55300,55314.4,55296.01294984063,NaN,NaN,NaN,NaN,0
1758015000,55312.6,55340,55312.6,55335.8,55300.4311979645,NaN,NaN,NaN,NaN,0
1758015900,55335.6,55359.8,55320,55345,55305.459860036884,NaN,NaN,NaN,NaN,0
1758016800,55350,55350,55350,55350,55310.68607737854,NaN,NaN,NaN,NaN,0
1758080700,55370.2,55480,55360,55435.6,55323.408287239574,55360,NaN,NaN,NaN,0
1758081600,55437.6,55552,55430.2,55516.2,55343.08367395747,NaN,NaN,NaN,NaN,0
1758082500,55527.4,55528.4,55500,55517.2,55362.163831736536,NaN,NaN,NaN,NaN,0
1758083400,55515,55520,55470.2,55470.2,55376.04824970658,NaN,NaN,NaN,NaN,0
1758084300,55470,55525.4,55421.2,55513.4,55392.88649641839,NaN,NaN,NaN,NaN,0
1758085200,55514.2,55579.4,55504,55504.6,55407.8132645927,NaN,NaN,55579.4,NaN,0
1758086100,55514.8,55571,55500,55568.2,55427.3133359393,NaN,NaN,NaN,NaN,0
1758087000,55570.8,55585.6,55526.2,55565,55445.18718939813,NaN,NaN,NaN,NaN,0
1758087900,55565,55574.4,55524,55540,55459.308222798936,NaN,NaN,NaN,NaN,0
1758088800,55534.6,55558.4,55526.4,55530.2,55471.04798715295,NaN,NaN,NaN,NaN,0
1758089700,55525.4,55565,55525.4,55551.4,55483.21668478813,NaN,NaN,NaN,NaN,0
1758090600,55551.2,55558,55531,55558,55494.62232778989,NaN,NaN,NaN,NaN,0
1758091500,55557.8,55581,55550,55581,55506.783038265334,NaN,NaN,NaN,NaN,0
1758092400,55578.2,55630,55578.2,55585.4,55518.03469259529,55578.2,NaN,NaN,NaN,0
1758093300,55580,55615.4,55575,55613.4,55530.63048996643,NaN,NaN,NaN,NaN,0
1758094200,55613.6,55625,55600,55611.8,55541.899213294615,NaN,NaN,NaN,NaN,0
1758095100,55612.4,55650,55612.2,55615,55552.36780182705,NaN,NaN,NaN,NaN,0
1758096000,55614,55648.2,55604.8,55636,55563.631156327014,NaN,NaN,NaN,NaN,0
1758096900,55635.6,55649,55605.6,55632,55573.46457075107,NaN,NaN,55649,NaN,0
1758097800,55632,55633.6,55569.4,55590,55578.437673736014,NaN,NaN,NaN,NaN,0
1758098700,55589.4,55624,55580.2,55617,55584.92935912907,NaN,NaN,NaN,NaN,0
1758099600,55609.4,55640,55590,55634,55592.06822150807,NaN,NaN,NaN,NaN,0
1758100500,55635.6,55699,55627,55699,55604.319718050676,55627,NaN,NaN,NaN,0
1758101400,55699,55744.4,55679.8,55700,55615.88262037583,NaN,NaN,NaN,NaN,0
1758102300,55692.4,55715,55667.2,55700,55626.59730312348,NaN,NaN,NaN,NaN,0
1758103200,55702,55702,55702,55702,55636.638620026686,NaN,NaN,NaN,NaN,0
1758167100,55900,55900,55771.2,55886,55662.58877275326,NaN,NaN,NaN,NaN,0
1758168000,55888,55894.8,55841.4,55878,55686.70458929195,NaN,NaN,55894.8,NaN,0
1758168900,55875,55899.8,55866.8,55899,55711.417497728195,NaN,NaN,NaN,NaN,0
1758169800,55899,55987,55886.6,55936.6,55738.13933978533,NaN,NaN,NaN,NaN,0
1758170700,55930,55975,55915,55968.6,55766.196523102335,NaN,NaN,NaN,NaN,0
1758171600,55971.6,55980,55932,55964,55791.9107319479,NaN,NaN,NaN,NaN,0
1758172500,55960,55977,55950,55960.6,55815.29542563689,NaN,NaN,NaN,NaN,0
1758173400,55960.6,55994,55955,55955.2,55835.97212972831,NaN,NaN,NaN,NaN,0
1758174300,55956,55976,55943.8,55955.2,55854.499443825225,NaN,NaN,NaN,NaN,0
1758175200,55960,55970,55932.2,55945,55869.998572860684,NaN,NaN,NaN,NaN,0
1758176100,55945.2,55946.2,55888,55903.2,55879.64634938243,NaN,NaN,NaN,NaN,0
1758177000,55903.2,55947.8,55897,55941.6,55890.87663958356,NaN,NaN,NaN,NaN,0
1758177900,55940.8,55944,55900,55915,55897.978848923725,NaN,NaN,NaN,NaN,0
1758178800,55915,55925.6,55835.4,55873.2,55899.745110442134,NaN,NaN,NaN,NaN,0
1758179700,55860,55887.2,55832.2,55845,55897.69252409127,NaN,NaN,NaN,NaN,0
1758180600,55835,55835,55652.6,55738.4,55884.93260516112,NaN,55835,NaN,NaN,0
1758181500,55725.2,55790,55700,55789.6,55876.26091965209,NaN,NaN,NaN,NaN,0
1758182400,55780,55820,55770.2,55817,55869.86876451207,NaN,NaN,NaN,NaN,0
1758183300,55816.6,55843.6,55750.6,55775,55859.67395996757,NaN,NaN,NaN,NaN,0
1758184200,55769.4,55790,55725.2,55770,55849.31289488268,NaN,NaN,NaN,NaN,0
1758185100,55770,55784.2,55740,55750,55837.66951076411,NaN,NaN,NaN,55740,0
1758186000,55750,55776.8,55724.2,55746,55826.277103687054,NaN,NaN,NaN,NaN,0
1758186900,55749,55841,55749,55804.4,55820.98449121452,NaN,NaN,NaN,NaN,0
1758187800,55804.4,55900,55804.4,55887,55823.994645457984,NaN,NaN,NaN,NaN,0
1758188700,55888,55907.4,55873.2,55875,55826.68809939746,NaN,NaN,NaN,NaN,0
1758253500,55848.6,55857.4,55722.6,55767.4,55820.17759192559,NaN,NaN,NaN,NaN,0
1758254400,55775,55790,55669.6,55728.6,55810.635026284355,NaN,55790,NaN,NaN,0
1758255300,55724.8,55745,55685,55705,55799.225084909594,NaN,NaN,NaN,NaN,0
1758256200,55705,55705.2,55620,55690,55787.066279632854,NaN,NaN,NaN,NaN,0
